FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10
ДВФО;Амурская область;3;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;4;0;0;0;0;0;0;0;;;
ДВФО;Амурская область;5;0;0;0;0;0;0;0;;;
ДВФО;Амурская область;6;0;0;0;0;0;0;0;;;
ДВФО;Амурская область;7;0;0;0;0;0;0;0;;;
ДВФО;Амурская область;8;0;0;0;0;0;0;0;;;
ДВФО;Амурская область;9;0;0;0;0;0;0;0;;;
ДВФО;Амурская область;10;0;0;0;0;0;0;0;;;
ДВФО;Еврейская автономная область;3;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;4;0;0;0;0;0;0;0;;;
ДВФО;Еврейская автономная область;5;0;0;0;0;0;0;0;;;
ДВФО;Еврейская автономная область;6;0;0;0;0;0;0;0;;;
ДВФО;Еврейская автономная область;7;0;0;0;0;0;0;0;;;
ДВФО;Еврейская автономная область;8;0;0;0;0;0;0;0;;;
ДВФО;Еврейская автономная область;9;0;0;0;0;0;0;0;;;
ДВФО;Еврейская автономная область;10;0;0;0;0;0;0;0;;;
ДВФО;Забайкальский край;3;0;0;0;0;0;0;0;0;0;0
ДВФО;Забайкальский край;4;0;0;0;0;0;0;0;;;
ДВФО;Забайкальский край;5;0;0;0;0;0;0;0;;;
ДВФО;Забайкальский край;6;0;0;0;0;0;0;0;;;
ДВФО;Забайкальский край;7;0;0;0;0;0;0;0;;;
ДВФО;Забайкальский край;8;0;0;0;0;0;0;0;;;
ДВФО;Забайкальский край;9;0;0;0;0;0;0;0;;;
ДВФО;Забайкальский край;10;0;0;0;0;0;0;0;;;
ДВФО;Камчатский край;3;0;0;0;0;0;0;0;0;0;0
ДВФО;Камчатский край;4;0;0;0;0;0;0;0;;;
ДВФО;Камчатский край;5;0;0;0;0;0;0;0;;;
ДВФО;Камчатский край;6;0;0;0;0;0;0;0;;;
ДВФО;Камчатский край;7;0;0;0;0;0;0;0;;;
ДВФО;Камчатский край;8;0;0;0;0;0;0;0;;;
ДВФО;Камчатский край;9;0;0;0;0;0;0;0;;;
ДВФО;Камчатский край;10;0;0;0;0;0;0;0;;;
ДВФО;Магаданская область;3;3;0;1;0;0;0;0;0;0;0
ДВФО;Магаданская область;4;3;0;1;0;0;0;0;;;
ДВФО;Магаданская область;5;0;0;0;0;0;0;0;;;
ДВФО;Магаданская область;6;0;0;0;0;0;0;0;;;
ДВФО;Магаданская область;7;0;0;0;0;0;0;0;;;
ДВФО;Магаданская область;8;0;0;0;0;0;0;0;;;
ДВФО;Магаданская область;9;0;0;0;0;0;0;0;;;
ДВФО;Магаданская область;10;0;0;0;0;0;0;0;;;
ДВФО;Приморский край;3;1;0;0;0;0;0;0;0;0;0
ДВФО;Приморский край;4;1;0;0;0;0;0;0;;;
ДВФО;Приморский край;5;0;0;0;0;0;0;0;;;
ДВФО;Приморский край;6;0;0;0;0;0;0;0;;;
ДВФО;Приморский край;7;0;0;0;0;0;0;0;;;
ДВФО;Приморский край;8;0;0;0;0;0;0;0;;;
ДВФО;Приморский край;9;0;0;0;0;0;0;0;;;
ДВФО;Приморский край;10;0;0;0;0;0;0;0;;;
ДВФО;Республика Бурятия;3;2;0;0;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;4;0;0;0;0;0;0;0;;;
ДВФО;Республика Бурятия;5;0;0;0;0;0;0;0;;;
ДВФО;Республика Бурятия;6;0;0;0;0;0;0;0;;;
ДВФО;Республика Бурятия;7;0;0;0;0;0;0;0;;;
ДВФО;Республика Бурятия;8;0;0;0;0;0;0;0;;;
ДВФО;Республика Бурятия;9;0;0;0;0;0;0;0;;;
ДВФО;Республика Бурятия;10;0;0;0;0;0;0;0;;;
ДВФО;Республика Саха (Якутия);3;9;1;2;2;0;0;0;0;0;0
ДВФО;Республика Саха (Якутия);4;7;0;2;2;0;0;0;;;
ДВФО;Республика Саха (Якутия);5;2;0;0;0;0;0;0;;;
ДВФО;Республика Саха (Якутия);6;4;0;1;1;0;0;0;;;
ДВФО;Республика Саха (Якутия);7;2;0;0;0;0;0;0;;;
ДВФО;Республика Саха (Якутия);8;2;0;1;1;0;0;0;;;
ДВФО;Республика Саха (Якутия);9;6;0;1;1;0;0;0;;;
ДВФО;Республика Саха (Якутия);10;1;0;0;0;0;0;0;;;
ДВФО;Сахалинская область;3;0;0;0;0;0;0;0;0;0;0
ДВФО;Сахалинская область;4;0;0;0;0;0;0;0;;;
ДВФО;Сахалинская область;5;0;0;0;0;0;0;0;;;
ДВФО;Сахалинская область;6;0;0;0;0;0;0;0;;;
ДВФО;Сахалинская область;7;0;0;0;0;0;0;0;;;
ДВФО;Сахалинская область;8;0;0;0;0;0;0;0;;;
ДВФО;Сахалинская область;9;0;0;0;0;0;0;0;;;
ДВФО;Сахалинская область;10;0;0;0;0;0;0;0;;;
ДВФО;Хабаровский край;3;1;0;0;0;1;1;0;1;0;0
ДВФО;Хабаровский край;4;0;0;0;0;0;0;0;;;
ДВФО;Хабаровский край;5;0;0;0;0;0;0;0;;;
ДВФО;Хабаровский край;6;0;0;0;0;0;0;0;;;
ДВФО;Хабаровский край;7;0;0;0;0;0;0;0;;;
ДВФО;Хабаровский край;8;0;0;0;0;0;0;0;;;
ДВФО;Хабаровский край;9;0;0;0;0;0;0;0;;;
ДВФО;Хабаровский край;10;0;0;0;0;0;0;0;;;
ДВФО;Чукотский автономный округ;3;0;0;0;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;4;0;0;0;0;0;0;0;;;
ДВФО;Чукотский автономный округ;5;0;0;0;0;0;0;0;;;
ДВФО;Чукотский автономный округ;6;0;0;0;0;0;0;0;;;
ДВФО;Чукотский автономный округ;7;0;0;0;0;0;0;0;;;
ДВФО;Чукотский автономный округ;8;0;0;0;0;0;0;0;;;
ДВФО;Чукотский автономный округ;9;0;0;0;0;0;0;0;;;
ДВФО;Чукотский автономный округ;10;0;0;0;0;0;0;0;;;
ПФО;Кировская область;3;0;0;0;2;0;0;0;0;0;0
ПФО;Кировская область;4;0;0;0;0;0;0;0;;;
ПФО;Кировская область;5;0;0;0;0;0;0;0;;;
ПФО;Кировская область;6;0;0;0;0;0;0;0;;;
ПФО;Кировская область;7;0;0;0;0;0;0;0;;;
ПФО;Кировская область;8;0;0;0;0;0;0;0;;;
ПФО;Кировская область;9;0;0;0;2;0;0;0;;;
ПФО;Кировская область;10;0;0;0;0;0;0;0;;;
ПФО;Нижегородская область;3;3;0;0;0;0;0;0;0;0;0
ПФО;Нижегородская область;4;1;0;0;0;0;0;0;;;
ПФО;Нижегородская область;5;0;0;0;0;0;0;0;;;
ПФО;Нижегородская область;6;0;0;0;0;0;0;0;;;
ПФО;Нижегородская область;7;0;0;0;0;0;0;0;;;
ПФО;Нижегородская область;8;0;0;0;0;0;0;0;;;
ПФО;Нижегородская область;9;3;0;0;0;0;0;0;;;
ПФО;Нижегородская область;10;0;0;0;0;0;0;0;;;
ПФО;Оренбургская область;3;0;0;0;0;0;0;0;0;0;0
ПФО;Оренбургская область;4;0;0;0;0;0;0;0;;;
ПФО;Оренбургская область;5;0;0;0;0;0;0;0;;;
ПФО;Оренбургская область;6;0;0;0;0;0;0;0;;;
ПФО;Оренбургская область;7;0;0;0;0;0;0;0;;;
ПФО;Оренбургская область;8;0;0;0;0;0;0;0;;;
ПФО;Оренбургская область;9;0;0;0;0;0;0;0;;;
ПФО;Оренбургская область;10;0;0;0;0;0;0;0;;;
ПФО;Пензенская область;3;0;0;0;0;0;0;0;0;0;0
ПФО;Пензенская область;4;0;0;0;0;0;0;0;;;
ПФО;Пензенская область;5;0;0;0;0;0;0;0;;;
ПФО;Пензенская область;6;0;0;0;0;0;0;0;;;
ПФО;Пензенская область;7;0;0;0;0;0;0;0;;;
ПФО;Пензенская область;8;0;0;0;0;0;0;0;;;
ПФО;Пензенская область;9;0;0;0;0;0;0;0;;;
ПФО;Пензенская область;10;0;0;0;0;0;0;0;;;
ПФО;Пермский край;3;0;3;0;0;0;0;0;2;0;2
ПФО;Пермский край;4;0;0;0;0;0;0;0;;;
ПФО;Пермский край;5;0;3;0;0;0;0;0;;;
ПФО;Пермский край;6;0;0;0;0;0;0;0;;;
ПФО;Пермский край;7;0;0;0;0;0;0;0;;;
ПФО;Пермский край;8;0;0;0;0;0;0;0;;;
ПФО;Пермский край;9;0;1;0;0;0;0;0;;;
ПФО;Пермский край;10;0;0;0;0;0;0;0;;;
ПФО;Республика Башкортостан;3;8;0;0;13;1;1;0;5;3;2
ПФО;Республика Башкортостан;4;1;0;0;1;1;1;0;;;
ПФО;Республика Башкортостан;5;0;0;0;0;0;0;0;;;
ПФО;Республика Башкортостан;6;2;0;0;0;0;0;0;;;
ПФО;Республика Башкортостан;7;1;0;0;0;0;0;0;;;
ПФО;Республика Башкортостан;8;1;0;0;0;0;0;0;;;
ПФО;Республика Башкортостан;9;1;0;0;1;0;0;0;;;
ПФО;Республика Башкортостан;10;2;0;0;0;0;0;0;;;
ПФО;Республика Марий Эл;3;0;0;0;0;0;0;0;0;0;0
ПФО;Республика Марий Эл;4;0;0;0;0;0;0;0;;;
ПФО;Республика Марий Эл;5;0;0;0;0;0;0;0;;;
ПФО;Республика Марий Эл;6;0;0;0;0;0;0;0;;;
ПФО;Республика Марий Эл;7;0;0;0;0;0;0;0;;;
ПФО;Республика Марий Эл;8;0;0;0;0;0;0;0;;;
ПФО;Республика Марий Эл;9;0;0;0;0;0;0;0;;;
ПФО;Республика Марий Эл;10;0;0;0;0;0;0;0;;;
ПФО;Республика Мордовия;3;0;0;0;0;0;0;0;2;0;0
ПФО;Республика Мордовия;4;0;0;0;0;0;0;0;;;
ПФО;Республика Мордовия;5;0;0;0;0;0;0;0;;;
ПФО;Республика Мордовия;6;0;0;0;0;0;0;0;;;
ПФО;Республика Мордовия;7;0;0;0;0;0;0;0;;;
ПФО;Республика Мордовия;8;0;0;0;0;0;0;0;;;
ПФО;Республика Мордовия;9;0;0;0;0;0;0;0;;;
ПФО;Республика Мордовия;10;0;0;0;0;0;0;0;;;
ПФО;Республика Татарстан;3;3;0;0;1;0;0;0;0;0;0
ПФО;Республика Татарстан;4;0;0;0;0;0;0;0;;;
ПФО;Республика Татарстан;5;2;0;0;0;0;0;0;;;
ПФО;Республика Татарстан;6;1;1;0;0;0;0;0;;;
ПФО;Республика Татарстан;7;1;0;0;0;0;0;0;;;
ПФО;Республика Татарстан;8;0;1;0;0;0;0;0;;;
ПФО;Республика Татарстан;9;2;0;0;0;0;0;0;;;
ПФО;Республика Татарстан;10;0;0,3;0;0;0;0;0;;;
ПФО;Самарская область;3;4;0;1;1;4;4;0;0;0;0
ПФО;Самарская область;4;0;0;1;1;0;0;0;;;
ПФО;Самарская область;5;0;0;0;0;4;4;0;;;
ПФО;Самарская область;6;0;0;0;0;0;0;0;;;
ПФО;Самарская область;7;0;0;0;0;0;0;0;;;
ПФО;Самарская область;8;0;0;0;0;0;0;0;;;
ПФО;Самарская область;9;0;0;1;1;4;4;0;;;
ПФО;Самарская область;10;0;0;0;0;0;0;0;;;
ПФО;Саратовская область;3;0;0;0;0;0;0;0;0;0;0
ПФО;Саратовская область;4;0;0;0;0;0;0;0;;;
ПФО;Саратовская область;5;0;0;0;0;0;0;0;;;
